time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,52981da3bafc4fc4a341986ce7e28954,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,52981da3bafc4fc4a341986ce7e28954,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,a8c8d43247984931aed8f9e9ad29c43d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,a8c8d43247984931aed8f9e9ad29c43d,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,d5883f9315db4195893b95dc4b24f003,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,d5883f9315db4195893b95dc4b24f003,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,39.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,b9f8f78ed1be4b24975a0abdcd816e4e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,b9f8f78ed1be4b24975a0abdcd816e4e,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,19.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,c6f403aa85114d6a8522d36448fbb9c7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,c6f403aa85114d6a8522d36448fbb9c7,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,10.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,653c39cc151140498034ac6eb7fe593a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
