time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,b3e94a8413914736a5e792625904fd9a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,b3e94a8413914736a5e792625904fd9a,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,ddbed25879cd43ff87ec16897d32f8f2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,ddbed25879cd43ff87ec16897d32f8f2,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,78.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,3ce1cbb2f48e47148de2cfb338fdc58f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,307f874a44da4658ae06541187810986,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,e28ab6ad454943fb94c566e256bb9644,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,836a65bec3cd44478b9ec0cce5d63654,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,c646780d6e634d088647e7fecd1214ac,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,2114b20af3df4521a93667d30695845c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,c646780d6e634d088647e7fecd1214ac,SPY,sell,market,fill,1,day,0.0,1,stock,323.0199890136719,233.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,2114b20af3df4521a93667d30695845c,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.0199890136719,38.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,c3e95944569f4d659752e0d2937e753f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,2d1f6fcf48a7478ab1ece41fae9d6414,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,0b7345188fa34e04b52ffcaef1c4c520,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,efe495b8a54440e2a70c321236ffd70c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
