time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,dadb17a18012479cba9fe9192165aa19,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,dadb17a18012479cba9fe9192165aa19,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,68e35b1763ec4537b35552fcb68e1406,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,68e35b1763ec4537b35552fcb68e1406,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,426dfd0a5bab44818ae0e85248abdcd8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,426dfd0a5bab44818ae0e85248abdcd8,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,39.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,d84455f4ae7341b28435b202d948127e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,d84455f4ae7341b28435b202d948127e,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,19.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,d94bb389b36e46dcb1371830fbf45f5f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,d94bb389b36e46dcb1371830fbf45f5f,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,10.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,c847415dc3b542f397201a72c9e4646f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,sarsa_strat,c847415dc3b542f397201a72c9e4646f,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,4.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,b3ea4f0269b14947ab61b9136354670f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,b3ea4f0269b14947ab61b9136354670f,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,2.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,9a8e43e6c641497ebbb82dc5244157dc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,9a8e43e6c641497ebbb82dc5244157dc,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,1.0,0.0
2020-01-15 09:30:00-05:00,sarsa_strat,9539c574897f496eb0be32efac9c9014,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,9539c574897f496eb0be32efac9c9014,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.3500061035156,1.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,89552c9f6df54f09893d2bb719ae5f53,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,7d002b11853f4e9eb61713ea09e142f8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,4e902ab5a73246d39326d8d4954b4e74,SPY,sell,stop,fill,1,day,0.0,1,stock,310.92550811767575,2.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,1cfc2ab8f6ef4de688aa775dda84125b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,dfd51a04dc304cd5a8ee440891353c3d,SPY,sell,stop,fill,1,day,0.0,1,stock,311.096501159668,1.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,51aef7a4592a497e8bcb08b9d1a895b2,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,f2f7c5383860452c96c83db6763cb595,SPY,sell,stop,fill,1,day,0.0,1,stock,310.98250579833984,1.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,89552c9f6df54f09893d2bb719ae5f53,SPY,buy,market,fill,1,gtc,0.0,1,stock,314.17999267578125,1.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,e4d4804bcfb9483dad9903385639ce6a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,95fe343dcc874be4b32d6f81f4c043a5,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,088de3691349487bbe2b4aa4337c0874,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,155.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,bfd8b62eeeeb46fa8f2ad4ebee86a710,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,c1af4d83a1c84d39821f75e6227cdec9,SPY,sell,stop,fill,1,day,0.0,1,stock,305.1020034790039,78.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,ab697e28a3be46e1a1cd9b2cd09f9e0b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,424bcffe562b4cf886bb2bc451918077,SPY,sell,stop,fill,1,day,0.0,1,stock,304.4654907226562,39.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,82f69b5c220f4a5397ee7326ed1401c3,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,52478c682fa54f37a15c83ce91d772a7,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,19.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,c1eec7497ace44d4a666fd8ac47ded81,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,bea4bfce677643d8a6d3a9452f6ab6df,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,10.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,9c457d2ac5d94a87a46477d2ddca42da,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,0afe86ac14cb437c8fc916ebb31679aa,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,4.0,0.0
