Metric,SPY,Strategy
Risk-Free Rate,5.11%,5.11%
Time in Market,69.0%,70.0%
,,
Total Return,79%,68%
CAGR% (Annual Return),13.57%,12.01%
,,
Sharpe,0.47,0.44
RoMaD,0.4,0.41
Corr to Benchmark,1.0,0.4
Prob. Sharpe Ratio,27.94%,28.8%
Smart Sharpe,0.46,0.43
Sortino,0.65,0.6
Smart Sortino,0.64,0.59
Sortino/√2,0.46,0.42
Smart Sortino/√2,0.45,0.41
Omega,1.08,1.08
,,
Max Drawdown,-33.68%,-29.44%
Longest DD Days,708,767
Volatility (ann.),21.48%,18.26%
R^2,0.16,0.16
Information Ratio,-0.0,-0.0
Calmar,0.4,0.41
Skew,-0.59,-0.64
Kurtosis,17.71,7.42
,,
Expected Daily%,0.03%,0.03%
Expected Monthly%,1.07%,0.95%
Expected Yearly%,12.36%,10.94%
Daily Value-at-Risk,-1.81%,-1.54%
Expected Shortfall (cVaR),-1.81%,-1.54%
,,
MTD,-0.61%,0.61%
3M,6.61%,7.94%
6M,11.12%,12.39%
YTD,15.41%,16.76%
1Y,20.08%,20.75%
3Y (ann.),8.05%,5.67%
5Y (ann.),13.57%,12.01%
10Y (ann.),13.57%,12.01%
All-time (ann.),13.57%,12.01%
,,
Best Day,9.06%,6.35%
Worst Day,-10.94%,-7.71%
Best Month,12.7%,12.48%
Worst Month,-12.44%,-13.52%
Best Year,28.77%,28.18%
Worst Year,-18.16%,-23.79%
,,
Avg. Drawdown,-1.94%,-2.08%
Avg. Drawdown Days,18,21
Recovery Factor,2.05,2.02
Ulcer Index,0.1,0.12
Serenity Index,0.4,0.19
,,
Avg. Up Month,4.78%,4.43%
Avg. Down Month,-5.3%,-5.05%
Win Days,908.82,919.67
Loss Days,763.18,752.33
Win Days%,54.36%,55.0%
Win Month%,63.64%,65.45%
Win Quarter%,68.42%,73.68%
Win Year%,80.0%,80.0%
,,
Beta,-,0.34
Alpha,-,0.08
Correlation,-,39.64%
Treynor Ratio,-,186.84%
