Metric,SPY,Strategy
Risk-Free Rate,5.11%,5.11%
Time in Market,69.0%,70.0%
,,
Total Return,79%,56%
CAGR% (Annual Return),13.57%,10.27%
,,
Sharpe,0.47,0.35
RoMaD,0.4,0.31
Corr to Benchmark,1.0,0.38
Prob. Sharpe Ratio,27.94%,22.94%
Smart Sharpe,0.46,0.35
Sortino,0.65,0.48
Smart Sortino,0.64,0.47
Sortino/√2,0.46,0.34
Smart Sortino/√2,0.45,0.33
Omega,1.06,1.06
,,
Max Drawdown,-33.68%,-32.65%
Longest DD Days,708,806
Volatility (ann.),21.48%,18.22%
R^2,0.14,0.14
Information Ratio,-0.01,-0.01
Calmar,0.4,0.31
Skew,-0.59,-0.52
Kurtosis,17.71,7.38
,,
Expected Daily%,0.03%,0.03%
Expected Monthly%,1.07%,0.82%
Expected Yearly%,12.36%,9.37%
Daily Value-at-Risk,-1.81%,-1.54%
Expected Shortfall (cVaR),-1.81%,-1.54%
,,
MTD,-0.61%,0.61%
3M,6.61%,7.97%
6M,11.12%,13.02%
YTD,15.41%,17.42%
1Y,20.08%,21.61%
3Y (ann.),8.05%,4.18%
5Y (ann.),13.57%,10.27%
10Y (ann.),13.57%,10.27%
All-time (ann.),13.57%,10.27%
,,
Best Day,9.06%,6.34%
Worst Day,-10.94%,-7.71%
Best Month,12.7%,12.55%
Worst Month,-12.44%,-11.29%
Best Year,28.77%,27.14%
Worst Year,-18.16%,-27.06%
,,
Avg. Drawdown,-1.94%,-2.45%
Avg. Drawdown Days,18,26
Recovery Factor,2.05,1.6
Ulcer Index,0.1,0.14
Serenity Index,0.4,0.12
,,
Avg. Up Month,4.85%,4.47%
Avg. Down Month,-5.3%,-4.93%
Win Days,908.82,915.93
Loss Days,763.18,756.07
Win Days%,54.36%,54.78%
Win Month%,63.64%,63.64%
Win Quarter%,68.42%,73.68%
Win Year%,80.0%,80.0%
,,
Beta,-,0.32
Alpha,-,0.07
Correlation,-,38.07%
Treynor Ratio,-,159.01%
