time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,3b960b562c8646cda8ad6a4168c9ca15,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,3b960b562c8646cda8ad6a4168c9ca15,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,c3fd15cf334d47418cd7cc6615648a2a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,fa29eebfbe8f4066950e77bfc5dae1c3,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,d9c4828564134e1ea549b6ebc621e07d,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,ca11a3835a6a4efeb152892ee5019e0d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,d9c4828564134e1ea549b6ebc621e07d,SPY,sell,market,fill,1,day,0.0,1,stock,321.1600036621094,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,ca11a3835a6a4efeb152892ee5019e0d,SPY,sell,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,174bf839f27b4a359a29ac8ab626a8c5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,d1f00f1efd554c4eafaa3d923a7fc453,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,ece72a7afeb84986941463192c2be9a8,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,67b30d98ae89435f8c21f362781bb6a7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,ece72a7afeb84986941463192c2be9a8,SPY,buy,market,fill,1,day,0.0,1,stock,320.489990234375,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,67b30d98ae89435f8c21f362781bb6a7,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,195.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,506d54ab804c4287919fe72e16266349,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,506d54ab804c4287919fe72e16266349,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,58.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,0d061e88781c44f6bc8088cc8a0d9424,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,0d061e88781c44f6bc8088cc8a0d9424,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,29.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,7c9ace778a71434b96f4ff4a31723619,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,sarsa_strat,7c9ace778a71434b96f4ff4a31723619,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,14.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,c33d5ba7f70b4fd3ac7344062c636c5a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,c33d5ba7f70b4fd3ac7344062c636c5a,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,7.0,0.0
2020-01-13 09:30:00-05:00,sarsa_strat,1a9e925abdf7484a9a6ba472daf57d9d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,sarsa_strat,1a9e925abdf7484a9a6ba472daf57d9d,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,3.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,b512deaf1f6047c7a2530d9eaf9c1e03,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,8735776a572f4f0683f2151261f84f2c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,87a05b2f3a9f4669b5acdd62179d64f7,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,32791b72d35a4d9fb99f51ef0e1d1934,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,5c94e2462c924ac69018f9842adce1aa,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,84001cbe08654f4e8fba76f28439463e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,b6967acb3d154acaa8674b24f208a50f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,e9fd7c2ba3ee4f70b49a240ca50b380f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,a5ff70c7ab7946d28dfc63f829ea80a7,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,02e0053138b445c282943ddc017e2b63,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,1c74f3c7cb574f6684ed85c437ee28ac,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,dd017e667d894dbf896786471027f702,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,cad8f924a73a4de4800c9213f914705f,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,6c61baf6aec34709a3cc771e5f03f838,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,cad8f924a73a4de4800c9213f914705f,SPY,sell,market,fill,1,day,0.0,1,stock,327.4700012207031,306.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,6c61baf6aec34709a3cc771e5f03f838,SPY,sell,market,fill,1,gtc,0.0,1,stock,327.4700012207031,2.0,0.0
2020-01-15 09:30:00-05:00,sarsa_strat,29084ef717f745469dce8e599455b1e7,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,8975a92c67cd4a85bf4e61e630a0f416,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,53de96b61aa34d569a57a8605608f619,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,692bd5d6706c4fcd8b2cb75415284926,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,53de96b61aa34d569a57a8605608f619,SPY,buy,market,fill,1,day,0.0,1,stock,327.3500061035156,2.0,0.0
2020-01-15 09:30:00-05:00,sarsa_strat,692bd5d6706c4fcd8b2cb75415284926,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.3500061035156,156.0,0.0
2020-01-16 09:30:00-05:00,sarsa_strat,05023890ea8e4ef7b738df6bfaf0d7b4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-16 09:30:00-05:00,sarsa_strat,05023890ea8e4ef7b738df6bfaf0d7b4,SPY,buy,market,fill,1,gtc,0.0,1,stock,329.70001220703125,76.0,0.0
2020-01-17 09:30:00-05:00,sarsa_strat,7204e2a584d440fea41be4e2ef802f26,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-17 09:30:00-05:00,sarsa_strat,7204e2a584d440fea41be4e2ef802f26,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.70001220703125,38.0,0.0
2020-01-21 09:30:00-05:00,sarsa_strat,342c5860e5c1435a8f0dd64801257589,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
