Metric,SPY,Strategy
Risk-Free Rate,5.11%,5.11%
Time in Market,69.0%,70.0%
,,
Total Return,79%,58%
CAGR% (Annual Return),13.57%,10.5%
,,
Sharpe,0.47,0.36
RoMaD,0.4,0.33
Corr to Benchmark,1.0,0.38
Prob. Sharpe Ratio,27.94%,23.52%
Smart Sharpe,0.46,0.36
Sortino,0.65,0.5
Smart Sortino,0.65,0.49
Sortino/√2,0.46,0.35
Smart Sortino/√2,0.46,0.35
Omega,1.07,1.07
,,
Max Drawdown,-33.68%,-32.25%
Longest DD Days,708,806
Volatility (ann.),21.48%,18.33%
R^2,0.14,0.14
Information Ratio,-0.01,-0.01
Calmar,0.4,0.33
Skew,-0.59,-0.57
Kurtosis,17.71,7.74
,,
Expected Daily%,0.03%,0.03%
Expected Monthly%,1.07%,0.83%
Expected Yearly%,12.36%,9.57%
Daily Value-at-Risk,-1.81%,-1.55%
Expected Shortfall (cVaR),-1.81%,-1.55%
,,
MTD,-0.61%,0.61%
3M,6.61%,7.69%
6M,11.12%,12.16%
YTD,15.41%,16.53%
1Y,20.08%,20.07%
3Y (ann.),8.05%,4.3%
5Y (ann.),13.57%,10.5%
10Y (ann.),13.57%,10.5%
All-time (ann.),13.57%,10.5%
,,
Best Day,9.06%,6.33%
Worst Day,-10.94%,-7.75%
Best Month,12.7%,14.12%
Worst Month,-12.44%,-15.23%
Best Year,28.77%,29.5%
Worst Year,-18.16%,-26.63%
,,
Avg. Drawdown,-1.94%,-2.26%
Avg. Drawdown Days,18,23
Recovery Factor,2.05,1.66
Ulcer Index,0.1,0.14
Serenity Index,0.4,0.13
,,
Avg. Up Month,4.68%,4.32%
Avg. Down Month,-5.3%,-5.24%
Win Days,908.82,909.26
Loss Days,763.18,762.74
Win Days%,54.36%,54.38%
Win Month%,63.64%,67.27%
Win Quarter%,68.42%,73.68%
Win Year%,80.0%,80.0%
,,
Beta,-,0.32
Alpha,-,0.07
Correlation,-,38.02%
Treynor Ratio,-,162.81%
