time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,bf7c3b794b6c42ae81265395c3aa971e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,bf7c3b794b6c42ae81265395c3aa971e,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,e80934c5bf2c4a5493b33be703f46a4a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,e80934c5bf2c4a5493b33be703f46a4a,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,d808926864ea4f15866b72592a20f2fd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,d808926864ea4f15866b72592a20f2fd,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,39.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,cc05189287ee47a4b61c47636d96e2fe,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,cc05189287ee47a4b61c47636d96e2fe,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,19.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,ce654562c7c64deb82437d34130df50a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,ce654562c7c64deb82437d34130df50a,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,10.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,cf978236a9154750acb5c760c1ed4f46,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,sarsa_strat,cf978236a9154750acb5c760c1ed4f46,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,4.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,dc1aebfe5dbb48f1a687460b236567c4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,dc1aebfe5dbb48f1a687460b236567c4,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,2.0,0.0
2020-01-13 09:30:00-05:00,sarsa_strat,e06bb8c528744ebebcdccdd6324bbcda,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,sarsa_strat,e06bb8c528744ebebcdccdd6324bbcda,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,1.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,875587e8bda544e1b3345d813876b488,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,875587e8bda544e1b3345d813876b488,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,1.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,753b420880e54f088ed6c7936072b413,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,689461b3d7ec40b3a45baf02c5b5bd62,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,60cf76e493c1465080a449a11796e3e4,SPY,sell,stop,fill,1,day,0.0,1,stock,310.92550811767575,2.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,32b3145618ec46f4b7f574f1a9a5a9c4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,67298c948b064586a8e17c105593bd66,SPY,sell,stop,fill,1,day,0.0,1,stock,311.096501159668,1.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,753b420880e54f088ed6c7936072b413,SPY,buy,market,fill,1,gtc,0.0,1,stock,314.17999267578125,1.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,983420ea6b444ca4955ebbefc695c5f9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,0fa9687dce7d46bb9d0eff96cc2f362e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,87e6a4d60bef4393bf39f1421da88420,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,155.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,4f4ac6b095e040579c92ef004e152859,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,b1f7a1d42185468da690a0de5f480702,SPY,sell,stop,fill,1,day,0.0,1,stock,305.1020034790039,78.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,42b860b9d5044994a09ad91410c974c9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,96ef3be024184c14b4f81482c1864b23,SPY,sell,stop,fill,1,day,0.0,1,stock,304.4654907226562,39.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,184d02784e04427ba6387f866e03a552,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,c9aaa1c6fe2e4bc98e233a6ea3eb139e,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,19.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,09a552fbcfdd4db9bde44fe2450a9d2d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,40061deac3124d97a72ce4ac2b94766e,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,10.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,140b9782089144d0858d19cd94b60425,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,f2126d70abde4f4bb31890019d198900,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,4.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,fbc3bdc8abc34d86a65067db8c92aad2,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,1a6e0545eabd463b89a30f49301a0fb5,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,1.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,6cfffb25e5b84a47b770a2c21a561a89,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,0040ac164ca2483e95666b687787ff0b,SPY,sell,stop,fill,1,day,0.0,1,stock,298.4709930419922,1.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,983420ea6b444ca4955ebbefc695c5f9,SPY,buy,market,fill,1,gtc,0.0,1,stock,305.4599914550781,2.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,6afb21b9b45d4ab8b1871d0cf285e753,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,43f07948a9844a9287faf3200c9424f4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,9dec58a684fd438586fa8b07e73fdff1,SPY,sell,stop,fill,1,day,0.0,1,stock,288.70001220703125,2.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,6afb21b9b45d4ab8b1871d0cf285e753,SPY,buy,market,fill,1,gtc,0.0,1,stock,288.70001220703125,163.0,0.0
2020-03-02 09:30:00-05:00,sarsa_strat,fdb49b414e404c3c88a56813ad5dd987,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-02 09:30:00-05:00,sarsa_strat,fdb49b414e404c3c88a56813ad5dd987,SPY,buy,market,fill,1,gtc,0.0,1,stock,298.2099914550781,80.0,0.0
2020-03-03 09:30:00-05:00,sarsa_strat,70978825abc84f2081d9f35a9884c708,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-03 09:30:00-05:00,sarsa_strat,70978825abc84f2081d9f35a9884c708,SPY,buy,market,fill,1,gtc,0.0,1,stock,309.5,38.0,0.0
2020-03-04 09:30:00-05:00,sarsa_strat,590743ebb1984f66832b2676ed55d454,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-04 09:30:00-05:00,sarsa_strat,590743ebb1984f66832b2676ed55d454,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1199951171875,19.0,0.0
2020-03-05 09:30:00-05:00,sarsa_strat,718b351685c8496f9b5d52fbf7294e8e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-05 09:30:00-05:00,sarsa_strat,718b351685c8496f9b5d52fbf7294e8e,SPY,buy,market,fill,1,gtc,0.0,1,stock,304.9800109863281,10.0,0.0
2020-03-06 09:30:00-05:00,sarsa_strat,11b87f3dbbf449a09138984e5b4c57ed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,sarsa_strat,77e7f75d2ecb4049a25dda371a414467,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,sarsa_strat,c395c34428634b64b2b708943f77e58c,SPY,sell,stop,fill,1,day,0.0,1,stock,293.1499938964844,38.0,0.0
2020-03-06 09:30:00-05:00,sarsa_strat,dc6ee1cb753849e9858e10de1db2725b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,sarsa_strat,fd233441d3bd4a2cbc8567a67a1bb4cc,SPY,sell,stop,fill,1,day,0.0,1,stock,290.8139953613281,19.0,0.0
2020-03-06 09:30:00-05:00,sarsa_strat,11b87f3dbbf449a09138984e5b4c57ed,SPY,buy,market,fill,1,gtc,0.0,1,stock,293.1499938964844,5.0,0.0
