Metric,SPY,Strategy
Risk-Free Rate,0.04%,0.04%
Time in Market,69.0%,70.0%
,,
Total Return,35%,42%
CAGR% (Annual Return),22.38%,26.55%
,,
Sharpe,0.85,1.22
RoMaD,0.66,0.93
Corr to Benchmark,1.0,0.46
Prob. Sharpe Ratio,84.39%,92.51%
Smart Sharpe,0.83,1.19
Sortino,1.17,1.67
Smart Sortino,1.15,1.63
Sortino/√2,0.83,1.18
Smart Sortino/√2,0.81,1.15
Omega,1.25,1.25
,,
Max Drawdown,-33.68%,-28.55%
Longest DD Days,171,106
Volatility (ann.),28.42%,21.06%
R^2,0.21,0.21
Information Ratio,0.0,0.0
Calmar,0.66,0.93
Skew,-0.76,-0.82
Kurtosis,15.97,8.38
,,
Expected Daily%,0.06%,0.06%
Expected Monthly%,1.69%,1.97%
Expected Yearly%,16.24%,19.18%
Daily Value-at-Risk,-2.38%,-1.74%
Expected Shortfall (cVaR),-2.38%,-1.74%
,,
MTD,2.26%,1.43%
3M,8.43%,8.63%
6M,15.91%,15.2%
YTD,15.16%,15.83%
1Y,42.61%,40.98%
3Y (ann.),22.38%,26.55%
5Y (ann.),22.38%,26.55%
10Y (ann.),22.38%,26.55%
All-time (ann.),22.38%,26.55%
,,
Best Day,9.06%,5.59%
Worst Day,-10.94%,-7.7%
Best Month,12.7%,16.85%
Worst Month,-12.44%,-12.16%
Best Year,17.33%,22.63%
Worst Year,15.16%,15.83%
,,
Avg. Drawdown,-2.02%,-2.01%
Avg. Drawdown Days,11,10
Recovery Factor,1.07,1.35
Ulcer Index,0.08,0.06
Serenity Index,0.4,0.52
,,
Avg. Up Month,4.7%,4.91%
Avg. Down Month,-6.65%,-6.54%
Win Days,312.47,326.42
Loss Days,232.53,218.58
Win Days%,57.33%,59.89%
Win Month%,72.22%,77.78%
Win Quarter%,83.33%,83.33%
Win Year%,100.0%,100.0%
,,
Beta,-,0.34
Alpha,-,0.17
Correlation,-,45.99%
Treynor Ratio,-,123.26%
