time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,c20d7280f7374897a2afa2dad424b4e8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,c20d7280f7374897a2afa2dad424b4e8,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,9cda817c08e5435bbf9da6506f1fffd7,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,2607992e6089440e9d540619bc328a41,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,4848404be32141df9e668380a3693e49,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,d231125022c34ee9b9379062d43d7899,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,4848404be32141df9e668380a3693e49,SPY,sell,market,fill,1,day,0.0,1,stock,321.1600036621094,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,d231125022c34ee9b9379062d43d7899,SPY,sell,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,733df0a080024959a5559b2e273dbb13,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,f1bf158ce52f47bf82259a1606f471df,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,728027afddfc40c39d04a878145a89d9,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,d6d8b00384144d0d98d63cf1a3565c84,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,728027afddfc40c39d04a878145a89d9,SPY,buy,market,fill,1,day,0.0,1,stock,320.489990234375,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,d6d8b00384144d0d98d63cf1a3565c84,SPY,buy,market,fill,1,gtc,0.0,1,stock,320.489990234375,195.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,58189a9f2535452485278e5c5aeac749,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,58189a9f2535452485278e5c5aeac749,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0199890136719,58.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,cc55083b302b42d89cfd37470ff33b05,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,cc55083b302b42d89cfd37470ff33b05,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,29.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,70c72289ee424c2fba4f2a38e5289955,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,sarsa_strat,70c72289ee424c2fba4f2a38e5289955,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.1600036621094,14.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,bd34a31c8e364d55be343fd506d6826b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,bd34a31c8e364d55be343fd506d6826b,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,7.0,0.0
2020-01-13 09:30:00-05:00,sarsa_strat,68a4b3ba732643d6a92628ae169e026c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,sarsa_strat,68a4b3ba732643d6a92628ae169e026c,SPY,buy,market,fill,1,gtc,0.0,1,stock,326.3900146484375,3.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,45ede21507d14b2188b1796649b2b7ed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,45ede21507d14b2188b1796649b2b7ed,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.4700012207031,2.0,0.0
2020-01-15 09:30:00-05:00,sarsa_strat,527f209ef4a540c0be29e16a34a621fe,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,527f209ef4a540c0be29e16a34a621fe,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.3500061035156,1.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,eeaf4a3b917a46eeb7744fdf554661bc,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,950f56b50caf489c8c6e74e9d382bcaf,SPY,sell,stop,fill,1,day,0.0,1,stock,310.92550811767575,7.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,41c3fd8671d04fbab65df8e861ade5ed,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-26 09:30:00-05:00,sarsa_strat,365fc36f43ff4fa6bc623f9b0ed90f53,SPY,sell,stop,fill,1,day,0.0,1,stock,311.096501159668,2.0,0.0
2020-02-26 09:30:00-05:00,sarsa_strat,516bff393d044d1f84d2ce59635898ea,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
