Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,71.0%
,,
Total Return,148%,167%
CAGR% (Annual Return),15.05%,16.37%
,,
Sharpe,0.61,0.63
RoMaD,0.45,0.44
Corr to Benchmark,1.0,0.29
Prob. Sharpe Ratio,58.86%,58.78%
Smart Sharpe,0.6,0.62
Sortino,0.86,0.86
Smart Sortino,0.85,0.84
Sortino/√2,0.61,0.61
Smart Sortino/√2,0.6,0.59
Omega,1.11,1.11
,,
Max Drawdown,-33.68%,-36.99%
Longest DD Days,708,765
Volatility (ann.),20.29%,22.29%
R^2,0.09,0.09
Information Ratio,0.0,0.0
Calmar,0.45,0.44
Skew,-0.26,-0.62
Kurtosis,20.47,5.13
,,
Expected Daily%,0.04%,0.04%
Expected Monthly%,1.17%,1.27%
Expected Yearly%,13.85%,15.06%
Daily Value-at-Risk,-1.7%,-1.87%
Expected Shortfall (cVaR),-1.7%,-1.87%
,,
MTD,-3.09%,-1.51%
3M,12.54%,21.05%
6M,6.78%,13.81%
YTD,8.1%,14.24%
1Y,22.18%,31.46%
3Y (ann.),19.34%,23.39%
5Y (ann.),12.49%,13.51%
10Y (ann.),15.05%,16.37%
All-time (ann.),15.05%,16.37%
,,
Best Day,10.5%,6.2%
Worst Day,-10.94%,-7.96%
Best Month,12.7%,17.9%
Worst Month,-12.44%,-15.53%
Best Year,28.77%,55.86%
Worst Year,-18.16%,-35.9%
,,
Avg. Drawdown,-1.88%,-3.12%
Avg. Drawdown Days,16,26
Recovery Factor,3.09,3.09
Ulcer Index,0.08,0.14
Serenity Index,0.79,0.35
,,
Avg. Up Month,4.47%,5.61%
Avg. Down Month,-4.71%,-6.18%
Win Days,1303.92,1317.61
Loss Days,1062.08,1048.39
Win Days%,55.11%,55.69%
Win Month%,64.1%,64.1%
Win Quarter%,73.08%,73.08%
Win Year%,85.71%,85.71%
,,
Beta,-,0.32
Alpha,-,0.12
Correlation,-,29.26%
Treynor Ratio,-,508.12%
