time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,e57c8ff2ec154bf0a42de3d7e8fdc585,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,e57c8ff2ec154bf0a42de3d7e8fdc585,QQQ,buy,market,fill,1,gtc,0.0,1,stock,214.39999389648438,233.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,e781482034924800b219681f91ccb75f,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,e781482034924800b219681f91ccb75f,QQQ,buy,market,fill,1,gtc,0.0,1,stock,213.3000030517578,117.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,d32c2ba49c6c495fa2e909ecfda57325,QQQ,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,445831345b304754b43e329956ba8b0f,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,8f85a3a16cca464fbbeec155314df726,QQQ,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,4d147189431d4aeb8ceea6e9010978dc,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,3b71a3ed949540798bcfd5c0c23373b1,QQQ,sell,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,d0c0e1ad328943dbaf512fba3e263051,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,3b71a3ed949540798bcfd5c0c23373b1,QQQ,sell,market,fill,1,day,0.0,1,stock,212.5,350.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,d0c0e1ad328943dbaf512fba3e263051,QQQ,sell,market,fill,1,gtc,0.0,1,stock,212.5,59.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,2a25b1ea4fa840e8825907732975943e,QQQ,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,2a25b1ea4fa840e8825907732975943e,QQQ,sell,market,fill,1,gtc,0.0,1,stock,215.63999938964844,260.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,fd92fa04c5734b34aeda3bdce234ef6d,QQQ,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,a4a53c3bf46c463e9db03299630ab1a9,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,d501617b2dbb4afc9941a57848f09cd1,QQQ,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,7ee0bdd6987c479098a0b425f8ed88d1,QQQ,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,ae7aecb420a749639227e825b79a7c14,QQQ,buy,market,new,1,day,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,fd2a16bf076a454ba331bffdd05873dd,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,ae7aecb420a749639227e825b79a7c14,QQQ,buy,market,fill,1,day,0.0,1,stock,215.5,319.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,fd2a16bf076a454ba331bffdd05873dd,QQQ,buy,market,fill,1,gtc,0.0,1,stock,215.5,390.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,e538615a20644ecda152c1923f932bac,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,sarsa_strat,e538615a20644ecda152c1923f932bac,QQQ,buy,market,fill,1,gtc,0.0,1,stock,218.94000244140625,35.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,85f05f76f2e2455a89eb94e63a793ae0,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,85f05f76f2e2455a89eb94e63a793ae0,QQQ,buy,market,fill,1,gtc,0.0,1,stock,219.85000610351562,17.0,0.0
2020-01-13 09:30:00-05:00,sarsa_strat,60a988dbf317441b8a589deff90a36a0,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,sarsa_strat,60a988dbf317441b8a589deff90a36a0,QQQ,buy,market,fill,1,gtc,0.0,1,stock,219.3300018310547,9.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,382d53dac645407aaefce0b54f0b1140,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,382d53dac645407aaefce0b54f0b1140,QQQ,buy,market,fill,1,gtc,0.0,1,stock,220.83999633789062,4.0,0.0
2020-01-15 09:30:00-05:00,sarsa_strat,d820b4951fe245ddae65f9b96616a9de,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,d820b4951fe245ddae65f9b96616a9de,QQQ,buy,market,fill,1,gtc,0.0,1,stock,220.1999969482422,2.0,0.0
