Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,4.0%
,,
Total Return,148%,"-2,280%"
CAGR% (Annual Return),15.05%,60.9%
,,
Sharpe,0.61,0.29
RoMaD,0.45,0.15
Corr to Benchmark,1.0,-0.14
Prob. Sharpe Ratio,58.86%,14.61%
Smart Sharpe,0.59,0.28
Sortino,0.86,0.51
Smart Sortino,0.82,0.49
Sortino/√2,0.61,0.36
Smart Sortino/√2,0.58,0.34
Omega,1.71,1.71
,,
Max Drawdown,-33.68%,-405.88%
Longest DD Days,708,2285
Volatility (ann.),20.29%,166.7%
R^2,0.02,0.02
Information Ratio,0.01,0.01
Calmar,0.45,0.15
Skew,-0.26,10.58
Kurtosis,20.47,832.01
,,
Expected Daily%,0.04%,-
Expected Monthly%,1.17%,-
Expected Yearly%,13.85%,-
Daily Value-at-Risk,-1.7%,-14.21%
Expected Shortfall (cVaR),-1.7%,-14.21%
,,
MTD,-3.09%,0.0%
3M,12.54%,0.0%
6M,6.78%,0.0%
YTD,8.1%,0.0%
1Y,22.18%,0.0%
3Y (ann.),19.34%,0.0%
5Y (ann.),12.49%,0.0%
10Y (ann.),15.05%,60.9%
All-time (ann.),15.05%,60.9%
,,
Best Day,10.5%,300.85%
Worst Day,-10.94%,-234.1%
Best Month,12.7%,40.7%
Worst Month,-12.44%,-1747.39%
Best Year,28.77%,0.0%
Worst Year,-18.16%,-2279.71%
,,
Avg. Drawdown,-1.88%,-51.1%
Avg. Drawdown Days,16,235
Recovery Factor,3.09,0.84
Ulcer Index,0.08,3.98
Serenity Index,0.79,0.01
,,
Avg. Up Month,12.7%,40.7%
Avg. Down Month,-7.11%,-584.48%
Win Days,1303.92,1229.09
Loss Days,1062.08,1136.91
Win Days%,55.11%,51.95%
Win Month%,64.1%,25.0%
Win Quarter%,73.08%,50.0%
Win Year%,85.71%,0.0%
,,
Beta,-,-1.17
Alpha,-,0.71
Correlation,-,-14.29%
Treynor Ratio,-,1945.13%
