time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,6b9b53877f774a8db97b9363a4abb53e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,6b9b53877f774a8db97b9363a4abb53e,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,894ed58834c447479a1b76ed30a8e90d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,894ed58834c447479a1b76ed30a8e90d,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,87a02ca42c17433b98071a443c6c6a9b,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,9f71724c3806404b94e9f114c1a7481b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,9ff2ed74168c44ff9730d54b435041e9,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,8498acbab5f44f43a1a2293271ea189e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,62183e28506147cdba28869c3ff262a3,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,e3f095f5cdc04d798fe855ec348e7386,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,62183e28506147cdba28869c3ff262a3,SPY,sell,market,fill,1,day,0.0,1,stock,320.489990234375,233.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,e3f095f5cdc04d798fe855ec348e7386,SPY,sell,market,fill,1,gtc,0.0,1,stock,320.489990234375,39.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,d0de25c659d74a6bb2f72945f8cafc0f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,d0de25c659d74a6bb2f72945f8cafc0f,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.0199890136719,173.0,0.0
2020-01-29 09:30:00-05:00,sarsa_strat,abe15d40904c45d9980adc3e9b43602d,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,sarsa_strat,6529bd6271454e26ade974157807e8a6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,sarsa_strat,b6cc3a65c4934b32881415327fe193c8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,sarsa_strat,d27dc26602bd4097933b68f6cb3423d2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,sarsa_strat,e5e2142598a74a8684b099bf2f18e985,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,sarsa_strat,02d576b22e974eefba82374adefdf75f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,sarsa_strat,e5e2142598a74a8684b099bf2f18e985,SPY,buy,market,fill,1,day,0.0,1,stock,328.3800048828125,212.0,0.0
2020-01-29 09:30:00-05:00,sarsa_strat,02d576b22e974eefba82374adefdf75f,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.3800048828125,256.0,0.0
