time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,1754e00a3b6b4f458af8eb939d87555c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,1754e00a3b6b4f458af8eb939d87555c,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,c413401c7227456396f4f875d79e8cc0,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,c413401c7227456396f4f875d79e8cc0,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,d29eee8176b04efc9ad044ef20b9418e,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,c880aa6c1b2e4a22a101aab3cd448307,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,85df05cd4b1c423e924efe2932ce7b89,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,30d9c504fde441d4878a573058aa6901,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,6ab5555b72f64784b59449fb3883093f,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,4e8e67def6b94580bdcb651f9b0758b7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,6ab5555b72f64784b59449fb3883093f,SPY,sell,market,fill,1,day,0.0,1,stock,320.489990234375,233.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,4e8e67def6b94580bdcb651f9b0758b7,SPY,sell,market,fill,1,gtc,0.0,1,stock,320.489990234375,39.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,ec316cd5bee4474e906644e837f278d8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,ec316cd5bee4474e906644e837f278d8,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.0199890136719,173.0,0.0
2020-02-06 09:30:00-05:00,sarsa_strat,6b8ac74978bf45008696e4b38f027131,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-02-06 09:30:00-05:00,sarsa_strat,0a3afa0ad77449a093bbf81522b7800c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
