Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,58.0%
,,
Total Return,148%,69%
CAGR% (Annual Return),15.05%,8.43%
,,
Sharpe,0.61,0.4
RoMaD,0.45,0.39
Corr to Benchmark,1.0,0.26
Prob. Sharpe Ratio,58.86%,46.55%
Smart Sharpe,0.57,0.37
Sortino,0.86,0.54
Smart Sortino,0.81,0.51
Sortino/√2,0.61,0.38
Smart Sortino/√2,0.57,0.36
Omega,1.08,1.08
,,
Max Drawdown,-33.68%,-21.57%
Longest DD Days,708,890
Volatility (ann.),20.29%,13.45%
R^2,0.07,0.07
Information Ratio,-0.02,-0.02
Calmar,0.45,0.39
Skew,-0.26,-0.72
Kurtosis,20.47,11.59
,,
Expected Daily%,0.04%,0.02%
Expected Monthly%,1.17%,0.67%
Expected Yearly%,13.85%,7.78%
Daily Value-at-Risk,-1.7%,-1.13%
Expected Shortfall (cVaR),-1.7%,-1.13%
,,
MTD,-3.09%,-2.42%
3M,12.54%,12.89%
6M,6.78%,7.17%
YTD,8.1%,7.29%
1Y,22.18%,22.64%
3Y (ann.),19.34%,19.75%
5Y (ann.),12.49%,10.01%
10Y (ann.),15.05%,8.43%
All-time (ann.),15.05%,8.43%
,,
Best Day,10.5%,5.01%
Worst Day,-10.94%,-6.62%
Best Month,12.7%,11.7%
Worst Month,-12.44%,-10.59%
Best Year,28.77%,25.81%
Worst Year,-18.16%,-18.57%
,,
Avg. Drawdown,-1.88%,-1.93%
Avg. Drawdown Days,16,28
Recovery Factor,3.09,2.7
Ulcer Index,0.08,0.1
Serenity Index,0.79,0.19
,,
Avg. Up Month,4.45%,3.13%
Avg. Down Month,-4.53%,-3.76%
Win Days,1303.92,1324.06
Loss Days,1062.08,1041.94
Win Days%,55.11%,55.96%
Win Month%,64.1%,65.33%
Win Quarter%,73.08%,73.08%
Win Year%,85.71%,71.43%
,,
Beta,-,0.17
Alpha,-,0.06
Correlation,-,25.71%
Treynor Ratio,-,382.94%
