time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,d0b809fa82d848d897978235e959b743,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,d0b809fa82d848d897978235e959b743,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,155.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,0959e431ba0741d8bda67747f27124ed,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,0959e431ba0741d8bda67747f27124ed,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,78.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,8d3c7bd5d4b64ff6ac1c002d4559b8aa,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,d97b480989ab4d01b5850b1c6240813e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,d45c5ace3ec3416db1885f74fb9efc48,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,5c08caf7c9a74f74a47c25d58dd7fa94,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,b5a8a71563d744109afff09a8f12dfad,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,b5a8a71563d744109afff09a8f12dfad,SPY,sell,market,fill,1,day,0.0,1,stock,320.489990234375,233.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,082506700cdc47848cb74e038f4935e5,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,082506700cdc47848cb74e038f4935e5,SPY,buy,market,fill,1,gtc,0.0,1,stock,322.94000244140625,154.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,494dca49d2aa41ad88688cf153d6dc77,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,494dca49d2aa41ad88688cf153d6dc77,SPY,buy,market,fill,1,gtc,0.0,1,stock,327.2900085449219,76.0,0.0
2020-01-13 09:30:00-05:00,sarsa_strat,fdf1c97f55d04188951b699a323e0b00,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
