time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,d5caf5b01d304abc838705de3b57c9dd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,d5caf5b01d304abc838705de3b57c9dd,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,153.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,77fa9e2e52af40aebcffa7cafff77667,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,4e1e80a3153649c184de2b1468f67b6e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,44da11c9466e4491b35b347eaaf5ece8,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,44da11c9466e4491b35b347eaaf5ece8,SPY,sell,market,fill,1,day,0.0,1,stock,320.489990234375,153.0,0.0
2020-01-24 09:30:00-05:00,sarsa_strat,4a4f5f4395c64c14bb49b74a6be91888,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-24 09:30:00-05:00,sarsa_strat,4a4f5f4395c64c14bb49b74a6be91888,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.44000244140625,147.0,0.0
2020-01-28 09:30:00-05:00,sarsa_strat,4feed7fa5232435b810bed3ddad4cd1a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-28 09:30:00-05:00,sarsa_strat,5793646a02d043aba383cc04fd37f7fa,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-28 09:30:00-05:00,sarsa_strat,4bc10c4e00974632b4b651edfa415795,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-28 09:30:00-05:00,sarsa_strat,4bc10c4e00974632b4b651edfa415795,SPY,sell,market,fill,1,day,0.0,1,stock,325.05999755859375,147.0,0.0
2020-01-30 09:30:00-05:00,sarsa_strat,8d0f8d650ef24e09942be1760fbcd5cb,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-30 09:30:00-05:00,sarsa_strat,8d0f8d650ef24e09942be1760fbcd5cb,SPY,buy,market,fill,1,gtc,0.0,1,stock,324.3599853515625,144.0,0.0
2020-02-03 09:30:00-05:00,sarsa_strat,f1d07e3d33ea4782a548a05f7c9bbdad,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,sarsa_strat,62201e2081b44674a5c75ff5e42c0357,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,sarsa_strat,d832f8cf095a4c55838f1948791e53f4,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,sarsa_strat,d832f8cf095a4c55838f1948791e53f4,SPY,sell,market,fill,1,day,0.0,1,stock,323.3500061035156,144.0,0.0
2020-02-04 09:30:00-05:00,sarsa_strat,827dfa5a5f7644faafa6532787c6870d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,sarsa_strat,827dfa5a5f7644faafa6532787c6870d,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.07000732421875,141.0,0.0
2020-02-05 09:30:00-05:00,sarsa_strat,909270efd256485a95c8a4cdabb434dd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-05 09:30:00-05:00,sarsa_strat,909270efd256485a95c8a4cdabb434dd,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.2699890136719,77.0,0.0
2020-02-06 09:30:00-05:00,sarsa_strat,98df170ffd91489ea3a42fac00e2db23,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-06 09:30:00-05:00,sarsa_strat,98df170ffd91489ea3a42fac00e2db23,SPY,buy,market,fill,1,gtc,0.0,1,stock,333.9100036621094,37.0,0.0
2020-02-07 09:30:00-05:00,sarsa_strat,d07e01043f2d45e3ad9c4dfcc8909165,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-07 09:30:00-05:00,sarsa_strat,d07e01043f2d45e3ad9c4dfcc8909165,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.82000732421875,20.0,0.0
2020-02-10 09:30:00-05:00,sarsa_strat,c989617e60bf483fa3a6be9183fdbcf7,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,9148cbdfefe04543a1131abe98422d0b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,1f2215a5f88642d3bb414c2c4dd2d79b,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,06421e39eae84faab3c088baba4278be,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,9afb1cd2325847929b9111949ae59f98,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,f1bf8635cfe045148077089530dd3fca,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,0039eb7367114d71aa4afe9e6c7d342c,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,fd8a221bd0394897baa287bc6dc324e2,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,e99a68563be44f83b9e5b611873c84e1,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,sarsa_strat,e99a68563be44f83b9e5b611873c84e1,SPY,sell,market,fill,1,day,0.0,1,stock,331.2300109863281,275.0,0.0
2020-02-11 09:30:00-05:00,sarsa_strat,9ff23ae4ba0447c487000eb90436992a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,sarsa_strat,9ff23ae4ba0447c487000eb90436992a,SPY,buy,market,fill,1,gtc,0.0,1,stock,336.1600036621094,140.0,0.0
2020-02-12 09:30:00-05:00,sarsa_strat,b8b84300e8df494b9e6789d903c5611a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-12 09:30:00-05:00,sarsa_strat,b8b84300e8df494b9e6789d903c5611a,SPY,buy,market,fill,1,gtc,0.0,1,stock,336.8299865722656,70.0,0.0
2020-02-13 09:30:00-05:00,sarsa_strat,423cd581dae64b5fb9ca810a549f8e04,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,sarsa_strat,063160b5a3e74119af03b2b820bcabc4,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,sarsa_strat,4c1fa597a9404756977da957f853a711,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,sarsa_strat,1edf1d0702254836a2eea27a61147170,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,sarsa_strat,32fa8e5c9c144a8fae282f2d817794a1,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,sarsa_strat,32fa8e5c9c144a8fae282f2d817794a1,SPY,sell,market,fill,1,day,0.0,1,stock,335.8599853515625,210.0,0.0
2020-02-14 09:30:00-05:00,sarsa_strat,1a7dc875d3b547e38c05b8bd0c8e158c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
