Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,64.0%
,,
Total Return,148%,97%
CAGR% (Annual Return),15.11%,11.06%
,,
Sharpe,0.62,0.54
RoMaD,0.45,0.48
Corr to Benchmark,1.0,0.25
Prob. Sharpe Ratio,59.06%,58.51%
Smart Sharpe,0.6,0.53
Sortino,0.87,0.75
Smart Sortino,0.84,0.72
Sortino/√2,0.61,0.53
Smart Sortino/√2,0.59,0.51
Omega,1.1,1.1
,,
Max Drawdown,-33.68%,-22.96%
Longest DD Days,708,755
Volatility (ann.),20.31%,14.65%
R^2,0.06,0.06
Information Ratio,-0.01,-0.01
Calmar,0.45,0.48
Skew,-0.26,-0.38
Kurtosis,20.43,6.47
,,
Expected Daily%,0.04%,0.03%
Expected Monthly%,1.17%,0.87%
Expected Yearly%,13.88%,10.17%
Daily Value-at-Risk,-1.7%,-1.23%
Expected Shortfall (cVaR),-1.7%,-1.23%
,,
MTD,-3.09%,-2.43%
3M,12.54%,7.16%
6M,6.78%,1.53%
YTD,8.1%,1.65%
1Y,22.18%,15.33%
3Y (ann.),19.34%,9.97%
5Y (ann.),12.49%,7.14%
10Y (ann.),15.11%,11.06%
All-time (ann.),15.11%,11.06%
,,
Best Day,10.5%,5.85%
Worst Day,-10.94%,-4.94%
Best Month,12.7%,7.33%
Worst Month,-12.44%,-7.49%
Best Year,28.77%,29.4%
Worst Year,-18.16%,-18.6%
,,
Avg. Drawdown,-1.9%,-2.07%
Avg. Drawdown Days,17,23
Recovery Factor,3.1,3.25
Ulcer Index,0.08,0.08
Serenity Index,0.79,0.43
,,
Avg. Up Month,4.41%,3.42%
Avg. Down Month,-3.92%,-3.92%
Win Days,1300.91,1320.16
Loss Days,1059.09,1039.84
Win Days%,55.12%,55.94%
Win Month%,64.1%,68.42%
Win Quarter%,73.08%,73.08%
Win Year%,85.71%,85.71%
,,
Beta,-,0.18
Alpha,-,0.09
Correlation,-,24.67%
Treynor Ratio,-,524.11%
