Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,65.0%
,,
Total Return,149%,87%
CAGR% (Annual Return),15.14%,10.14%
,,
Sharpe,0.62,0.49
RoMaD,0.45,0.41
Corr to Benchmark,1.0,0.29
Prob. Sharpe Ratio,59.21%,54.09%
Smart Sharpe,0.62,0.49
Sortino,0.87,0.67
Smart Sortino,0.87,0.67
Sortino/√2,0.62,0.48
Smart Sortino/√2,0.61,0.48
Omega,1.09,1.09
,,
Max Drawdown,-33.68%,-25.02%
Longest DD Days,708,779
Volatility (ann.),20.31%,14.36%
R^2,0.08,0.08
Information Ratio,-0.01,-0.01
Calmar,0.45,0.41
Skew,-0.26,-0.49
Kurtosis,20.44,6.75
,,
Expected Daily%,0.04%,0.03%
Expected Monthly%,1.18%,0.8%
Expected Yearly%,13.92%,9.33%
Daily Value-at-Risk,-1.7%,-1.21%
Expected Shortfall (cVaR),-1.7%,-1.21%
,,
MTD,-3.09%,-2.42%
3M,12.54%,7.01%
6M,6.78%,1.46%
YTD,8.1%,1.58%
1Y,22.18%,15.51%
3Y (ann.),19.34%,13.4%
5Y (ann.),12.49%,7.47%
10Y (ann.),15.14%,10.14%
All-time (ann.),15.14%,10.14%
,,
Best Day,10.5%,5.84%
Worst Day,-10.94%,-5.17%
Best Month,12.7%,9.39%
Worst Month,-12.44%,-7.54%
Best Year,28.77%,29.15%
Worst Year,-18.16%,-23.99%
,,
Avg. Drawdown,-1.9%,-2.04%
Avg. Drawdown Days,17,23
Recovery Factor,3.11,2.76
Ulcer Index,0.08,0.1
Serenity Index,0.79,0.26
,,
Avg. Up Month,4.37%,3.54%
Avg. Down Month,-4.22%,-3.83%
Win Days,1301.87,1322.53
Loss Days,1060.13,1039.47
Win Days%,55.12%,55.99%
Win Month%,64.1%,64.47%
Win Quarter%,73.08%,69.23%
Win Year%,85.71%,85.71%
,,
Beta,-,0.2
Alpha,-,0.07
Correlation,-,28.81%
Treynor Ratio,-,407.86%
