Metric,SPY,Strategy
Risk-Free Rate,5.26%,5.26%
Time in Market,69.0%,34.0%
,,
Total Return,49%,19%
CAGR% (Annual Return),10.72%,4.68%
,,
Sharpe,0.34,-0.05
RoMaD,0.32,0.6
Corr to Benchmark,1.0,0.17
Prob. Sharpe Ratio,19.2%,27.88%
Smart Sharpe,0.33,-0.05
Sortino,0.46,-0.06
Smart Sortino,0.46,-0.06
Sortino/√2,0.33,-0.05
Smart Sortino/√2,0.33,-0.04
Omega,0.99,0.99
,,
Max Drawdown,-33.68%,-7.85%
Longest DD Days,687,499
Volatility (ann.),22.87%,6.85%
R^2,0.03,0.03
Information Ratio,-0.02,-0.02
Calmar,0.32,0.6
Skew,-0.56,-1.13
Kurtosis,15.92,14.39
,,
Expected Daily%,0.03%,0.01%
Expected Monthly%,0.85%,0.38%
Expected Yearly%,10.4%,4.54%
Daily Value-at-Risk,-1.93%,-0.58%
Expected Shortfall (cVaR),-1.93%,-0.58%
,,
MTD,8.62%,7.49%
3M,3.77%,4.3%
6M,9.32%,6.75%
YTD,20.13%,10.61%
1Y,16.98%,10.61%
3Y (ann.),9.02%,7.08%
5Y (ann.),10.72%,4.68%
10Y (ann.),10.72%,4.68%
All-time (ann.),10.72%,4.68%
,,
Best Day,9.06%,2.05%
Worst Day,-10.94%,-3.28%
Best Month,12.7%,7.49%
Worst Month,-12.44%,-6.12%
Best Year,28.77%,10.83%
Worst Year,-18.16%,-2.49%
,,
Avg. Drawdown,-2.16%,-1.19%
Avg. Drawdown Days,21,36
Recovery Factor,1.48,2.38
Ulcer Index,0.11,0.03
Serenity Index,0.26,0.31
,,
Avg. Up Month,4.86%,1.95%
Avg. Down Month,-4.19%,-2.17%
Win Days,758.93,775.36
Loss Days,660.07,643.64
Win Days%,53.48%,54.64%
Win Month%,61.7%,69.44%
Win Quarter%,68.75%,57.14%
Win Year%,75.0%,50.0%
,,
Beta,-,0.05
Alpha,-,0.04
Correlation,-,17.45%
Treynor Ratio,-,271.38%
