Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,45.0%
,,
Total Return,148%,48%
CAGR% (Annual Return),15.05%,6.23%
,,
Sharpe,0.61,0.31
RoMaD,0.45,0.41
Corr to Benchmark,1.0,0.21
Prob. Sharpe Ratio,58.86%,49.57%
Smart Sharpe,0.61,0.31
Sortino,0.86,0.42
Smart Sortino,0.86,0.42
Sortino/√2,0.61,0.3
Smart Sortino/√2,0.61,0.3
Omega,1.07,1.07
,,
Max Drawdown,-33.68%,-15.38%
Longest DD Days,708,490
Volatility (ann.),20.29%,9.26%
R^2,0.04,0.04
Information Ratio,-0.02,-0.02
Calmar,0.45,0.41
Skew,-0.26,-0.9
Kurtosis,20.47,14.0
,,
Expected Daily%,0.04%,0.02%
Expected Monthly%,1.17%,0.5%
Expected Yearly%,13.85%,5.75%
Daily Value-at-Risk,-1.7%,-0.78%
Expected Shortfall (cVaR),-1.7%,-0.78%
,,
MTD,-3.09%,-0.61%
3M,12.54%,1.12%
6M,6.78%,-4.06%
YTD,8.1%,-3.97%
1Y,22.18%,0.3%
3Y (ann.),19.34%,5.57%
5Y (ann.),12.49%,5.01%
10Y (ann.),15.05%,6.23%
All-time (ann.),15.05%,6.23%
,,
Best Day,10.5%,3.23%
Worst Day,-10.94%,-4.23%
Best Month,12.7%,8.01%
Worst Month,-12.44%,-6.83%
Best Year,28.77%,17.02%
Worst Year,-18.16%,-3.97%
,,
Avg. Drawdown,-1.88%,-1.73%
Avg. Drawdown Days,16,32
Recovery Factor,3.09,2.73
Ulcer Index,0.08,0.05
Serenity Index,0.79,0.45
,,
Avg. Up Month,4.74%,2.54%
Avg. Down Month,-3.93%,-2.3%
Win Days,1303.92,1286.65
Loss Days,1062.08,1079.35
Win Days%,55.11%,54.38%
Win Month%,64.1%,63.49%
Win Quarter%,73.08%,73.08%
Win Year%,85.71%,57.14%
,,
Beta,-,0.09
Alpha,-,0.05
Correlation,-,20.59%
Treynor Ratio,-,471.28%
