time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,784fcb115cb2407f921095cd9a3126bf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,784fcb115cb2407f921095cd9a3126bf,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,165.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,03c8644e69474c43858fc6676445bf07,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,03c8644e69474c43858fc6676445bf07,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,77.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,2b280512cd9b4825abeadebe8af66207,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,4c59466a618c4e22bcba4054f67810bd,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,6a105dfadbc144ceb08c395bafc8907b,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,971f2ff8782b4ff39c3b94a7170fd6e3,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,bde34716b8864b0e9ff51cc1ede658e4,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,bde34716b8864b0e9ff51cc1ede658e4,SPY,sell,market,fill,1,day,0.0,1,stock,320.489990234375,242.0,0.0
2020-01-22 09:30:00-05:00,sarsa_strat,49cd9c75ec6d4928a29d0341baf1cf09,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-22 09:30:00-05:00,sarsa_strat,49cd9c75ec6d4928a29d0341baf1cf09,SPY,buy,market,fill,1,gtc,0.0,1,stock,332.239990234375,159.0,0.0
2020-02-18 09:30:00-05:00,sarsa_strat,bc4a05e43375470abb490c6e8f5b36af,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
