Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,42.0%
,,
Total Return,148%,34%
CAGR% (Annual Return),15.07%,4.62%
,,
Sharpe,0.62,0.13
RoMaD,0.45,0.18
Corr to Benchmark,1.0,0.25
Prob. Sharpe Ratio,58.99%,22.26%
Smart Sharpe,0.6,0.13
Sortino,0.87,0.17
Smart Sortino,0.84,0.17
Sortino/√2,0.61,0.12
Smart Sortino/√2,0.59,0.12
Omega,1.03,1.03
,,
Max Drawdown,-33.68%,-24.97%
Longest DD Days,708,1677
Volatility (ann.),20.29%,13.77%
R^2,0.06,0.06
Information Ratio,-0.03,-0.03
Calmar,0.45,0.18
Skew,-0.26,-1.89
Kurtosis,20.48,18.53
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,1.17%,0.38%
Expected Yearly%,13.88%,4.27%
Daily Value-at-Risk,-1.7%,-1.17%
Expected Shortfall (cVaR),-1.7%,-1.17%
,,
MTD,-2.95%,0.0%
3M,12.08%,0.0%
6M,6.93%,0.0%
YTD,8.26%,0.0%
1Y,22.29%,-3.75%
3Y (ann.),19.29%,5.9%
5Y (ann.),12.47%,0.04%
10Y (ann.),15.07%,4.62%
All-time (ann.),15.07%,4.62%
,,
Best Day,10.5%,3.84%
Worst Day,-10.94%,-7.97%
Best Month,12.7%,10.38%
Worst Month,-12.44%,-13.71%
Best Year,28.77%,22.66%
Worst Year,-18.16%,-23.2%
,,
Avg. Drawdown,-1.88%,-3.46%
Avg. Drawdown Days,16,79
Recovery Factor,3.1,1.42
Ulcer Index,0.08,0.14
Serenity Index,0.79,0.07
,,
Avg. Up Month,4.74%,3.65%
Avg. Down Month,-4.92%,-4.94%
Win Days,1305.13,1324.36
Loss Days,1061.87,1042.64
Win Days%,55.14%,55.95%
Win Month%,64.1%,62.96%
Win Quarter%,73.08%,60.0%
Win Year%,85.71%,66.67%
,,
Beta,-,0.17
Alpha,-,0.03
Correlation,-,25.22%
Treynor Ratio,-,177.06%
