time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,4912725ef7a0482b9d502d10444cf186,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,4912725ef7a0482b9d502d10444cf186,QQQ,buy,market,fill,1,gtc,0.0,1,stock,214.39999389648438,233.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,1e77cc37317549c99aeb4dd6a515e7b4,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,1e77cc37317549c99aeb4dd6a515e7b4,QQQ,buy,market,fill,1,gtc,0.0,1,stock,213.3000030517578,117.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,050db5be2d7b45abb3a4bc4eaa5486fc,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,050db5be2d7b45abb3a4bc4eaa5486fc,QQQ,buy,market,fill,1,gtc,0.0,1,stock,212.5,59.0,0.0
2020-01-08 09:30:00-05:00,sarsa_strat,0de32fd681d44cd1a818101f4435b26c,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-08 09:30:00-05:00,sarsa_strat,0de32fd681d44cd1a818101f4435b26c,QQQ,buy,market,fill,1,gtc,0.0,1,stock,215.5,29.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,8ef4d7c29e7448e98089be837d32c3be,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,sarsa_strat,8ef4d7c29e7448e98089be837d32c3be,QQQ,buy,market,fill,1,gtc,0.0,1,stock,218.94000244140625,14.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,5e19f7f32d3f40ff9e353af241623710,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,5e19f7f32d3f40ff9e353af241623710,QQQ,buy,market,fill,1,gtc,0.0,1,stock,219.85000610351562,7.0,0.0
2020-01-13 09:30:00-05:00,sarsa_strat,61ac8ee0a1c94a9ea7aa253d64108597,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-13 09:30:00-05:00,sarsa_strat,61ac8ee0a1c94a9ea7aa253d64108597,QQQ,buy,market,fill,1,gtc,0.0,1,stock,219.3300018310547,4.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,8a5820527b104bc2a279ee6184d318c0,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,8a5820527b104bc2a279ee6184d318c0,QQQ,buy,market,fill,1,gtc,0.0,1,stock,220.83999633789062,2.0,0.0
2020-01-15 09:30:00-05:00,sarsa_strat,bc7970882d714b4e8b4c4f711da98a9e,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-15 09:30:00-05:00,sarsa_strat,bc7970882d714b4e8b4c4f711da98a9e,QQQ,buy,market,fill,1,gtc,0.0,1,stock,220.1999969482422,1.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,7a25332e8fe24e1e8ca0996b22e6e55f,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,d5b7dc10a17c49248c078389866845a2,QQQ,sell,stop,fill,1,day,0.0,1,stock,207.99300231933591,14.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,a0d4568a0eb84793ab2d59210bd553f4,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,1110297227ae4e91b4783c33a9d61fab,QQQ,sell,stop,fill,1,day,0.0,1,stock,208.85750579833984,7.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,6ed47305dad647c4826f46c72e7c2146,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,79d60573283d49beba24a90bc7c10e61,QQQ,sell,stop,fill,1,day,0.0,1,stock,208.36350173950194,4.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,91ebcae4e5244d28957f0bf36a3f5179,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,c6960a34d74e45d584e2d62df779a92c,QQQ,sell,stop,fill,1,day,0.0,1,stock,209.7979965209961,2.0,0.0
2020-02-27 09:30:00-05:00,sarsa_strat,a97effa85b7149a2985176f8aabc75a7,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,sarsa_strat,957c4b3e37ff44b29311839340a64192,QQQ,sell,stop,fill,1,day,0.0,1,stock,209.18999710083006,1.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,e98f5a7660284653b16864610606434e,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,9cc877f504b54f09ae1ff58071d4cf9d,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,74186293cd3c44b682681f383be78dd2,QQQ,sell,stop,fill,1,day,0.0,1,stock,198.63999938964844,233.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,366cb01345604c75a2a95f7ebc01ff8f,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,89e3d5e2322344438033830ac6760dba,QQQ,sell,stop,fill,1,day,0.0,1,stock,198.63999938964844,117.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,be218b2ad433413fa3ebcd0c4c634d25,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,dce5a674837241af938ad838e3c81a39,QQQ,sell,stop,fill,1,day,0.0,1,stock,198.63999938964844,59.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,db1faa7640314aaba8d534c5b4bd48ca,QQQ,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,33ac9e1c86c44d98aa864f55302647cb,QQQ,sell,stop,fill,1,day,0.0,1,stock,198.63999938964844,29.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,e98f5a7660284653b16864610606434e,QQQ,buy,market,fill,1,gtc,0.0,1,stock,198.63999938964844,15.0,0.0
2020-03-02 09:30:00-05:00,sarsa_strat,0a3c3652734a4dd7a92e95ec48003436,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-02 09:30:00-05:00,sarsa_strat,0a3c3652734a4dd7a92e95ec48003436,QQQ,buy,market,fill,1,gtc,0.0,1,stock,208.8800048828125,215.0,0.0
2020-03-03 09:30:00-05:00,sarsa_strat,8e5acae7bf764769aeefc28210cec6a4,QQQ,buy,market,new,1,gtc,0.0,1,stock,,,
