Metric,SPY,Strategy
Risk-Free Rate,5.26%,5.26%
Time in Market,69.0%,65.0%
,,
Total Return,49%,48%
CAGR% (Annual Return),10.72%,10.54%
,,
Sharpe,0.34,0.38
RoMaD,0.32,0.35
Corr to Benchmark,1.0,0.3
Prob. Sharpe Ratio,19.2%,26.95%
Smart Sharpe,0.32,0.36
Sortino,0.46,0.52
Smart Sortino,0.44,0.5
Sortino/√2,0.33,0.37
Smart Sortino/√2,0.31,0.35
Omega,1.07,1.07
,,
Max Drawdown,-33.68%,-30.2%
Longest DD Days,687,686
Volatility (ann.),22.87%,16.45%
R^2,0.09,0.09
Information Ratio,-0.0,-0.0
Calmar,0.32,0.35
Skew,-0.56,-0.44
Kurtosis,15.92,6.83
,,
Expected Daily%,0.03%,0.03%
Expected Monthly%,0.85%,0.83%
Expected Yearly%,10.4%,10.22%
Daily Value-at-Risk,-1.93%,-1.38%
Expected Shortfall (cVaR),-1.93%,-1.38%
,,
MTD,8.62%,8.87%
3M,3.77%,3.93%
6M,9.32%,8.64%
YTD,20.13%,15.78%
1Y,16.98%,13.3%
3Y (ann.),9.02%,3.26%
5Y (ann.),10.72%,10.54%
10Y (ann.),10.72%,10.54%
All-time (ann.),10.72%,10.54%
,,
Best Day,9.06%,6.32%
Worst Day,-10.94%,-5.08%
Best Month,12.7%,12.47%
Worst Month,-12.44%,-9.57%
Best Year,28.77%,36.57%
Worst Year,-18.16%,-28.3%
,,
Avg. Drawdown,-2.16%,-2.0%
Avg. Drawdown Days,21,19
Recovery Factor,1.48,1.46
Ulcer Index,0.11,0.15
Serenity Index,0.26,0.08
,,
Avg. Up Month,4.71%,4.16%
Avg. Down Month,-4.92%,-4.09%
Win Days,758.93,773.72
Loss Days,660.07,645.28
Win Days%,53.48%,54.53%
Win Month%,61.7%,63.83%
Win Quarter%,68.75%,62.5%
Win Year%,75.0%,75.0%
,,
Beta,-,0.22
Alpha,-,0.09
Correlation,-,30.39%
Treynor Ratio,-,193.72%
