time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,fbdd53b7b86640118c39abd7244351dc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,fbdd53b7b86640118c39abd7244351dc,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,165.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,02cd221a627d4158bae78bfe6645ce4a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,02cd221a627d4158bae78bfe6645ce4a,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.1600036621094,77.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,7fa67ff51b83430ea384cbd8226aae91,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,2a691d920e874eb9b03cd2d0cc967861,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,81b1325ba489436e8d66f5cf56b90692,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,4c13fcf51d1a4f61912bd7c912eff0b1,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,e1862ea6fa5a4a49a32e1bc724f64a45,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,e1862ea6fa5a4a49a32e1bc724f64a45,SPY,sell,market,fill,1,day,0.0,1,stock,320.489990234375,242.0,0.0
2020-01-27 09:30:00-05:00,sarsa_strat,ddbba4ca0d35466781006a87a83a0093,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-27 09:30:00-05:00,sarsa_strat,ddbba4ca0d35466781006a87a83a0093,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.0299987792969,154.0,0.0
2020-01-28 09:30:00-05:00,sarsa_strat,ad6503c1880749ad89d7637d728254ae,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-28 09:30:00-05:00,sarsa_strat,ad6503c1880749ad89d7637d728254ae,SPY,buy,market,fill,1,gtc,0.0,1,stock,325.05999755859375,90.0,0.0
2020-01-29 09:30:00-05:00,sarsa_strat,f85a0e000e23424591594f6b09b7e027,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-29 09:30:00-05:00,sarsa_strat,f85a0e000e23424591594f6b09b7e027,SPY,buy,market,fill,1,gtc,0.0,1,stock,328.3800048828125,31.0,0.0
2020-01-31 09:30:00-05:00,sarsa_strat,274fa1f28ea84b05b83e54fe43116d42,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
