Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,61.0%
,,
Total Return,45%,25%
CAGR% (Annual Return),17.97%,10.3%
,,
Sharpe,0.87,0.74
RoMaD,0.96,1.04
Corr to Benchmark,1.0,0.33
Prob. Sharpe Ratio,72.56%,73.59%
Smart Sharpe,0.86,0.73
Sortino,1.28,1.0
Smart Sortino,1.27,0.99
Sortino/√2,0.9,0.71
Smart Sortino/√2,0.9,0.7
Omega,1.15,1.15
,,
Max Drawdown,-18.75%,-9.86%
Longest DD Days,126,201
Volatility (ann.),16.31%,8.95%
R^2,0.11,0.11
Information Ratio,-0.03,-0.03
Calmar,0.96,1.04
Skew,1.29,-1.09
Kurtosis,32.63,12.44
,,
Expected Daily%,0.05%,0.03%
Expected Monthly%,1.34%,0.79%
Expected Yearly%,13.21%,7.64%
Daily Value-at-Risk,-1.36%,-0.74%
Expected Shortfall (cVaR),-1.36%,-0.74%
,,
MTD,-2.95%,-0.55%
3M,12.08%,1.46%
6M,6.93%,0.45%
YTD,8.26%,0.54%
1Y,22.29%,6.77%
3Y (ann.),17.97%,10.3%
5Y (ann.),17.97%,10.3%
10Y (ann.),17.97%,10.3%
All-time (ann.),17.97%,10.3%
,,
Best Day,10.5%,2.88%
Worst Day,-5.85%,-3.96%
Best Month,10.51%,3.86%
Worst Month,-5.57%,-3.16%
Best Year,17.72%,14.55%
Worst Year,8.26%,0.54%
,,
Avg. Drawdown,-1.81%,-1.33%
Avg. Drawdown Days,13,18
Recovery Factor,2.14,2.33
Ulcer Index,0.04,0.02
Serenity Index,1.21,0.76
,,
Avg. Up Month,3.64%,2.09%
Avg. Down Month,-2.9%,-1.86%
Win Days,472.79,472.19
Loss Days,350.21,350.81
Win Days%,57.45%,57.37%
Win Month%,64.29%,70.37%
Win Quarter%,80.0%,80.0%
Win Year%,100.0%,100.0%
,,
Beta,-,0.18
Alpha,-,0.07
Correlation,-,32.83%
Treynor Ratio,-,116.7%
