Metric,SPY,Strategy
Risk-Free Rate,5.26%,5.26%
Time in Market,69.0%,64.0%
,,
Total Return,50%,35%
CAGR% (Annual Return),10.95%,8.0%
,,
Sharpe,0.34,0.24
RoMaD,0.33,0.25
Corr to Benchmark,1.0,0.31
Prob. Sharpe Ratio,19.7%,18.03%
Smart Sharpe,0.33,0.23
Sortino,0.48,0.32
Smart Sortino,0.46,0.31
Sortino/√2,0.34,0.23
Smart Sortino/√2,0.33,0.22
Omega,1.04,1.04
,,
Max Drawdown,-33.68%,-31.56%
Longest DD Days,687,686
Volatility (ann.),22.88%,16.95%
R^2,0.1,0.1
Information Ratio,-0.01,-0.01
Calmar,0.33,0.25
Skew,-0.56,-0.41
Kurtosis,15.91,6.09
,,
Expected Daily%,0.03%,0.02%
Expected Monthly%,0.86%,0.64%
Expected Yearly%,10.61%,7.75%
Daily Value-at-Risk,-1.93%,-1.43%
Expected Shortfall (cVaR),-1.93%,-1.43%
,,
MTD,8.62%,8.87%
3M,3.77%,3.94%
6M,9.32%,8.64%
YTD,20.13%,16.27%
1Y,16.98%,17.27%
3Y (ann.),9.02%,3.84%
5Y (ann.),10.95%,8.0%
10Y (ann.),10.95%,8.0%
All-time (ann.),10.95%,8.0%
,,
Best Day,9.06%,5.85%
Worst Day,-10.94%,-4.96%
Best Month,12.7%,10.49%
Worst Month,-12.44%,-7.73%
Best Year,28.77%,30.07%
Worst Year,-18.16%,-27.54%
,,
Avg. Drawdown,-2.16%,-2.31%
Avg. Drawdown Days,21,22
Recovery Factor,1.5,1.12
Ulcer Index,0.11,0.16
Serenity Index,0.26,0.06
,,
Avg. Up Month,4.71%,4.12%
Avg. Down Month,-5.37%,-4.67%
Win Days,758.64,781.31
Loss Days,658.36,635.69
Win Days%,53.54%,55.14%
Win Month%,61.7%,63.04%
Win Quarter%,68.75%,68.75%
Win Year%,75.0%,75.0%
,,
Beta,-,0.23
Alpha,-,0.06
Correlation,-,31.42%
Treynor Ratio,-,126.93%
