Metric,SPY,Strategy
Risk-Free Rate,3.68%,3.68%
Time in Market,69.0%,50.0%
,,
Total Return,45%,11%
CAGR% (Annual Return),18.38%,4.72%
,,
Sharpe,0.89,0.16
RoMaD,0.98,0.34
Corr to Benchmark,1.0,0.32
Prob. Sharpe Ratio,73.16%,42.98%
Smart Sharpe,0.85,0.15
Sortino,1.31,0.21
Smart Sortino,1.25,0.2
Sortino/√2,0.92,0.15
Smart Sortino/√2,0.88,0.14
Omega,1.04,1.04
,,
Max Drawdown,-18.75%,-14.06%
Longest DD Days,126,491
Volatility (ann.),16.41%,8.55%
R^2,0.1,0.1
Information Ratio,-0.04,-0.04
Calmar,0.98,0.34
Skew,1.29,-1.42
Kurtosis,32.42,16.67
,,
Expected Daily%,0.05%,0.01%
Expected Monthly%,1.39%,0.38%
Expected Yearly%,13.24%,3.46%
Daily Value-at-Risk,-1.36%,-0.72%
Expected Shortfall (cVaR),-1.36%,-0.72%
,,
MTD,-2.95%,-0.85%
3M,12.08%,4.88%
6M,6.93%,0.61%
YTD,8.26%,0.61%
1Y,22.29%,3.84%
3Y (ann.),18.38%,4.72%
5Y (ann.),18.38%,4.72%
10Y (ann.),18.38%,4.72%
All-time (ann.),18.38%,4.72%
,,
Best Day,10.5%,2.87%
Worst Day,-5.85%,-3.55%
Best Month,10.51%,4.73%
Worst Month,-5.57%,-5.61%
Best Year,17.72%,9.88%
Worst Year,8.26%,0.17%
,,
Avg. Drawdown,-1.79%,-1.68%
Avg. Drawdown Days,13,32
Recovery Factor,2.15,0.78
Ulcer Index,0.04,0.05
Serenity Index,1.21,0.08
,,
Avg. Up Month,4.09%,2.32%
Avg. Down Month,-3.05%,-3.02%
Win Days,465.26,450.23
Loss Days,342.74,357.77
Win Days%,57.58%,55.72%
Win Month%,62.96%,69.57%
Win Quarter%,77.78%,77.78%
Win Year%,100.0%,100.0%
,,
Beta,-,0.17
Alpha,-,0.02
Correlation,-,31.79%
Treynor Ratio,-,42.56%
