time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-04-09 09:30:00-04:00,sarsa_strat,5b505993f37a41ddabf2dcedd7c238fe,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-04-09 09:30:00-04:00,sarsa_strat,5b505993f37a41ddabf2dcedd7c238fe,SPY,buy,market,fill,1,gtc,0.0,1,stock,520.5,96.0,0.0
2024-04-19 09:30:00-04:00,sarsa_strat,d74efc3e22b4426589d91a145b519a41,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-04-19 09:30:00-04:00,sarsa_strat,8853d58275474b4ba61bb11e2740e2c3,SPY,sell,stop,fill,1,day,0.0,1,stock,494.47499999999997,96.0,0.0
2024-05-01 09:30:00-04:00,sarsa_strat,0a726cd8d77d4fb09c0cb55a2b7ebb3b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-05-01 09:30:00-04:00,sarsa_strat,0a726cd8d77d4fb09c0cb55a2b7ebb3b,SPY,buy,market,fill,1,gtc,0.0,1,stock,501.3800048828125,97.0,0.0
2024-07-25 09:30:00-04:00,sarsa_strat,68a4c54771274d769c57bb9ff8f52ba9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-07-25 09:30:00-04:00,sarsa_strat,68a4c54771274d769c57bb9ff8f52ba9,SPY,buy,market,fill,1,gtc,0.0,1,stock,541.3499755859375,45.0,0.0
2024-08-05 08:30:00-04:00,sarsa_strat,36592121c24941e3a2eb0b00782e668c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2024-08-05 08:30:00-04:00,sarsa_strat,67298c0251fa4f21825b0b59e01fe57f,SPY,sell,stop,fill,1,day,0.0,1,stock,511.6400146484375,45.0,0.0
2024-08-06 09:30:00-04:00,sarsa_strat,5daa979eddee431fb1225507f65d7125,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-08-06 09:30:00-04:00,sarsa_strat,5daa979eddee431fb1225507f65d7125,SPY,buy,market,fill,1,gtc,0.0,1,stock,519.219970703125,46.0,0.0
2024-10-30 09:30:00-04:00,sarsa_strat,ab86c65ad24c46c7830f697ef241995e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-10-30 09:30:00-04:00,sarsa_strat,ab86c65ad24c46c7830f697ef241995e,SPY,buy,market,fill,1,gtc,0.0,1,stock,581.2899780273438,21.0,0.0
2024-11-29 08:30:00-05:00,sarsa_strat,5df3cba3f6744e378ad0b592be32d22d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
