Metric,SPY,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,69.0%,53.0%
,,
Total Return,71%,34%
CAGR% (Annual Return),15.87%,8.37%
,,
Sharpe,0.66,0.42
RoMaD,0.65,0.54
Corr to Benchmark,1.0,0.22
Prob. Sharpe Ratio,47.88%,56.23%
Smart Sharpe,0.64,0.4
Sortino,0.95,0.58
Smart Sortino,0.92,0.56
Sortino/√2,0.67,0.41
Smart Sortino/√2,0.65,0.4
Omega,1.09,1.09
,,
Max Drawdown,-24.49%,-15.63%
Longest DD Days,708,622
Volatility (ann.),16.62%,7.71%
R^2,0.05,0.05
Information Ratio,-0.02,-0.02
Calmar,0.65,0.54
Skew,-0.13,-0.79
Kurtosis,4.1,10.98
,,
Expected Daily%,0.04%,0.02%
Expected Monthly%,1.23%,0.67%
Expected Yearly%,11.36%,6.05%
Daily Value-at-Risk,-1.39%,-0.64%
Expected Shortfall (cVaR),-1.39%,-0.64%
,,
MTD,3.53%,2.48%
3M,4.38%,4.75%
6M,14.9%,8.49%
YTD,15.88%,9.02%
1Y,26.48%,18.19%
3Y (ann.),9.31%,6.88%
5Y (ann.),15.87%,8.37%
10Y (ann.),15.87%,8.37%
All-time (ann.),15.87%,8.37%
,,
Best Day,5.5%,2.21%
Worst Day,-4.35%,-2.96%
Best Month,9.13%,7.51%
Worst Month,-9.24%,-7.03%
Best Year,28.77%,17.42%
Worst Year,-18.16%,-9.34%
,,
Avg. Drawdown,-1.48%,-1.02%
Avg. Drawdown Days,17,22
Recovery Factor,2.4,1.95
Ulcer Index,0.09,0.07
Serenity Index,0.28,0.13
,,
Avg. Up Month,4.46%,2.3%
Avg. Down Month,-4.85%,-2.01%
Win Days,711.47,721.55
Loss Days,622.53,612.45
Win Days%,53.33%,54.09%
Win Month%,68.18%,68.42%
Win Quarter%,73.33%,66.67%
Win Year%,80.0%,80.0%
,,
Beta,-,0.1
Alpha,-,0.07
Correlation,-,22.44%
Treynor Ratio,-,277.77%
