time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-11-03 09:30:00-05:00,sarsa_strat,962d1f13afb143f18fd01bf4f3fb3ccc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-11-03 09:30:00-05:00,sarsa_strat,962d1f13afb143f18fd01bf4f3fb3ccc,SPY,buy,market,fill,1,gtc,0.0,1,stock,333.69000244140625,150.0,0.0
2021-04-01 09:30:00-04:00,sarsa_strat,dd629d9568254189979a9519855b31a4,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-04-01 09:30:00-04:00,sarsa_strat,d23f4c6ee1be45fdba3243b3d967b981,SPY,sell,limit,fill,1,day,0.0,1,stock,400.42800292968747,150.0,0.0
2021-09-21 09:30:00-04:00,sarsa_strat,1ab030d47dc24db99aac5f2256af2122,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-09-21 09:30:00-04:00,sarsa_strat,1ab030d47dc24db99aac5f2256af2122,SPY,buy,market,fill,1,gtc,0.0,1,stock,436.5299987792969,126.0,0.0
2022-01-14 09:30:00-05:00,sarsa_strat,7a49ec05c4a4434db08268fa72e20bab,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2022-01-14 09:30:00-05:00,sarsa_strat,520b3677d7d944d09d240e43b8146ba0,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-14 09:30:00-05:00,sarsa_strat,86b82b54e1fc4893bd775058373d1426,SPY,sell,market,new,1,day,0.0,1,stock,,,
2022-01-14 09:30:00-05:00,sarsa_strat,86b82b54e1fc4893bd775058373d1426,SPY,sell,market,fill,1,day,0.0,1,stock,461.19000244140625,126.0,0.0
2022-02-22 09:30:00-05:00,sarsa_strat,a885d763033c4beb8940a49d2f7720d1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-02-22 09:30:00-05:00,sarsa_strat,a885d763033c4beb8940a49d2f7720d1,SPY,buy,market,fill,1,gtc,0.0,1,stock,431.8900146484375,132.0,0.0
2022-02-25 09:30:00-05:00,sarsa_strat,f281590fdf454dba899d8c941a60c93a,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-02-25 09:30:00-05:00,sarsa_strat,f281590fdf454dba899d8c941a60c93a,SPY,buy,market,fill,1,gtc,0.0,1,stock,429.6099853515625,66.0,0.0
2022-03-15 09:30:00-04:00,sarsa_strat,7c80be2be8aa483d951922f14d257e72,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-03-15 09:30:00-04:00,sarsa_strat,7c80be2be8aa483d951922f14d257e72,SPY,buy,market,fill,1,gtc,0.0,1,stock,419.7699890136719,34.0,0.0
2022-03-31 09:30:00-04:00,sarsa_strat,bcd25b7085e2475cab78e9dee7428380,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-03-31 09:30:00-04:00,sarsa_strat,bcd25b7085e2475cab78e9dee7428380,SPY,buy,market,fill,1,gtc,0.0,1,stock,457.8900146484375,16.0,0.0
2022-04-18 09:30:00-04:00,sarsa_strat,42543af72864491a8c5f9d8f524b78e7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-18 09:30:00-04:00,sarsa_strat,42543af72864491a8c5f9d8f524b78e7,SPY,buy,market,fill,1,gtc,0.0,1,stock,436.80999755859375,8.0,0.0
2022-04-22 09:30:00-04:00,sarsa_strat,eddbde636054487db0d61bc7ce07e071,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,sarsa_strat,bc1b271350974f8495fc8e142091d6c2,SPY,sell,stop,fill,1,day,0.0,1,stock,434.9955139160156,16.0,0.0
2022-04-28 09:30:00-04:00,sarsa_strat,75b5960d412045cf95360fc36ac76b7d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,sarsa_strat,75b5960d412045cf95360fc36ac76b7d,SPY,buy,market,fill,1,gtc,0.0,1,stock,422.2900085449219,13.0,0.0
2022-04-29 09:30:00-04:00,sarsa_strat,8514727c477c427bb118d8d8e316717d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-04-29 09:30:00-04:00,sarsa_strat,918af68b27cb42da93e8be8f6995f4e8,SPY,sell,stop,fill,1,day,0.0,1,stock,414.96949768066406,8.0,0.0
