Metric,SPY,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,69.0%,39.0%
,,
Total Return,80%,51%
CAGR% (Annual Return),13.96%,9.58%
,,
Sharpe,0.48,0.34
RoMaD,0.41,0.48
Corr to Benchmark,1.0,0.19
Prob. Sharpe Ratio,27.64%,24.88%
Smart Sharpe,0.46,0.33
Sortino,0.66,0.48
Smart Sortino,0.64,0.47
Sortino/√2,0.47,0.34
Smart Sortino/√2,0.45,0.33
Omega,1.09,1.09
,,
Max Drawdown,-33.68%,-19.85%
Longest DD Days,708,729
Volatility (ann.),21.61%,15.36%
R^2,0.04,0.04
Information Ratio,-0.01,-0.01
Calmar,0.41,0.48
Skew,-0.59,-0.65
Kurtosis,17.59,17.28
,,
Expected Daily%,0.04%,0.03%
Expected Monthly%,1.09%,0.76%
Expected Yearly%,12.45%,8.57%
Daily Value-at-Risk,-1.82%,-1.29%
Expected Shortfall (cVaR),-1.82%,-1.29%
,,
MTD,3.53%,7.2%
3M,4.38%,5.36%
6M,14.9%,8.97%
YTD,15.88%,9.09%
1Y,26.48%,14.0%
3Y (ann.),9.31%,6.78%
5Y (ann.),13.96%,9.58%
10Y (ann.),13.96%,9.58%
All-time (ann.),13.96%,9.58%
,,
Best Day,9.06%,5.19%
Worst Day,-10.94%,-7.19%
Best Month,12.7%,11.95%
Worst Month,-12.44%,-13.24%
Best Year,28.77%,23.42%
Worst Year,-18.16%,-2.1%
,,
Avg. Drawdown,-1.92%,-2.81%
Avg. Drawdown Days,19,43
Recovery Factor,2.06,2.34
Ulcer Index,0.1,0.06
Serenity Index,0.4,0.55
,,
Avg. Up Month,4.7%,4.05%
Avg. Down Month,-5.16%,-3.7%
Win Days,889.12,875.7
Loss Days,750.88,764.3
Win Days%,54.21%,53.4%
Win Month%,64.81%,59.52%
Win Quarter%,72.22%,68.75%
Win Year%,80.0%,80.0%
,,
Beta,-,0.14
Alpha,-,0.08
Correlation,-,19.11%
Treynor Ratio,-,335.63%
