time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,sarsa_strat,05c4974c91c8426eb2b7015434d9535e,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,sarsa_strat,05c4974c91c8426eb2b7015434d9535e,MSFT,buy,market,fill,1,gtc,0.0,1,stock,158.77999877929688,315.0,0.0
2020-01-03 09:30:00-05:00,sarsa_strat,7e06e382f7c44039a6e4a9d2ab6f00a7,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-03 09:30:00-05:00,sarsa_strat,7e06e382f7c44039a6e4a9d2ab6f00a7,MSFT,buy,market,fill,1,gtc,0.0,1,stock,158.32000732421875,173.0,0.0
2020-01-06 09:30:00-05:00,sarsa_strat,ba60ec9996124ef2a1058410a61087e4,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-06 09:30:00-05:00,sarsa_strat,ba60ec9996124ef2a1058410a61087e4,MSFT,buy,market,fill,1,gtc,0.0,1,stock,157.0800018310547,72.0,0.0
2020-01-07 09:30:00-05:00,sarsa_strat,75b4bc28f6ac42bbb13dfbcc2fc9ffcb,MSFT,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,aa2f437613814171b3241e3a29b71636,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,fd64a2fdd558425d93b49bca46f443ff,MSFT,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,80566ec85b6e42b28be2600f6c54cec3,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,7818829535f042f6a871bd0351adbe35,MSFT,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,e375a7214a7340d58c465e490609a669,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,1d78f838852448eab25982e344eed980,MSFT,sell,market,new,1,day,0.0,1,stock,,,
2020-01-07 09:30:00-05:00,sarsa_strat,1d78f838852448eab25982e344eed980,MSFT,sell,market,fill,1,day,0.0,1,stock,159.32000732421875,560.0,0.0
2020-01-09 09:30:00-05:00,sarsa_strat,e11495e5406642e6a5fd465754799505,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-09 09:30:00-05:00,sarsa_strat,e11495e5406642e6a5fd465754799505,MSFT,buy,market,fill,1,gtc,0.0,1,stock,161.83999633789062,373.0,0.0
2020-01-10 09:30:00-05:00,sarsa_strat,2ca79c59a4b44d9e9e7a5f958f02423a,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-10 09:30:00-05:00,sarsa_strat,2ca79c59a4b44d9e9e7a5f958f02423a,MSFT,buy,market,fill,1,gtc,0.0,1,stock,162.82000732421875,123.0,0.0
2020-01-14 09:30:00-05:00,sarsa_strat,8678312b934c450db5831b059f68c1d0,MSFT,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,95ae7ff9e8e44bc28984aae8eb792867,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,2278c207c8df4091a68ac9fbf4d7e626,MSFT,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,ebb7aadc9a904d9a9474755f272d0476,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,100cf7fabad64d2c98cc6a20ceeecb42,MSFT,sell,market,new,1,day,0.0,1,stock,,,
2020-01-14 09:30:00-05:00,sarsa_strat,100cf7fabad64d2c98cc6a20ceeecb42,MSFT,sell,market,fill,1,day,0.0,1,stock,163.38999938964844,496.0,0.0
2020-02-28 09:30:00-05:00,sarsa_strat,8aa9fc298ded4245a922776948ebbbbd,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-28 09:30:00-05:00,sarsa_strat,8aa9fc298ded4245a922776948ebbbbd,MSFT,buy,market,fill,1,gtc,0.0,1,stock,152.41000366210938,352.0,0.0
2020-03-04 09:30:00-05:00,sarsa_strat,4d1328bf48ea4278912e4127353b2b76,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-04 09:30:00-05:00,sarsa_strat,4d1328bf48ea4278912e4127353b2b76,MSFT,buy,market,fill,1,gtc,0.0,1,stock,168.49000549316406,150.0,0.0
2020-03-05 09:30:00-05:00,sarsa_strat,0e3916649aa0403da3a31701de4851d1,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-05 09:30:00-05:00,sarsa_strat,0e3916649aa0403da3a31701de4851d1,MSFT,buy,market,fill,1,gtc,0.0,1,stock,166.0500030517578,71.0,0.0
2020-03-06 09:30:00-05:00,sarsa_strat,38189e9c48e84d5994f5ac02c53dd7e0,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,sarsa_strat,3afa7e3419864dc58e528011afef3172,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,sarsa_strat,45aea10adb3d42e0870a8d9df1aa7c7f,MSFT,sell,stop,fill,1,day,0.0,1,stock,160.06550521850585,150.0,0.0
2020-03-06 09:30:00-05:00,sarsa_strat,ba2adb05444145caafb4147b0b8cb064,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,sarsa_strat,5218e7bd630e4294b4261b4dfd0ade27,MSFT,sell,stop,fill,1,day,0.0,1,stock,157.74750289916992,71.0,0.0
2020-03-06 09:30:00-05:00,sarsa_strat,38189e9c48e84d5994f5ac02c53dd7e0,MSFT,buy,market,fill,1,gtc,0.0,1,stock,162.61000061035156,32.0,0.0
2020-03-09 08:30:00-04:00,sarsa_strat,6308c73f864b41db818a780ad5dccf28,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,sarsa_strat,c36a1ff075a14a5da92eb43a257f00df,MSFT,sell,stop,fill,1,day,0.0,1,stock,151.0,32.0,0.0
2020-03-09 09:30:00-04:00,sarsa_strat,b8ce37301f174667853d6819d62901fe,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,sarsa_strat,b8ce37301f174667853d6819d62901fe,MSFT,buy,market,fill,1,gtc,0.0,1,stock,151.0,179.0,0.0
2020-03-10 09:30:00-04:00,sarsa_strat,2998f64643eb41b8906aaf5cd5d7994b,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-10 09:30:00-04:00,sarsa_strat,2998f64643eb41b8906aaf5cd5d7994b,MSFT,buy,market,fill,1,gtc,0.0,1,stock,158.16000366210938,58.0,0.0
2020-03-11 09:30:00-04:00,sarsa_strat,5876b35eb5864af8b3238aac8ac11b84,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,sarsa_strat,5876b35eb5864af8b3238aac8ac11b84,MSFT,buy,market,fill,1,gtc,0.0,1,stock,157.1300048828125,29.0,0.0
2020-03-12 09:30:00-04:00,sarsa_strat,d9cce40aedd647e49572938830362c8f,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,sarsa_strat,dc21ff215f3b48fc957773c6fe258b68,MSFT,sell,stop,fill,1,day,0.0,1,stock,144.7895034790039,352.0,0.0
2020-03-12 09:30:00-04:00,sarsa_strat,09ea4e377eee41a789c5daa2d61a58f6,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,sarsa_strat,6f503298b97140098fcff7d5f8fc59cd,MSFT,sell,stop,fill,1,day,0.0,1,stock,143.45,179.0,0.0
2020-03-12 09:30:00-04:00,sarsa_strat,d8433652483d46a587fc65875bf0574b,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,sarsa_strat,b9cea77132b848339ff9d5ebafad325a,MSFT,sell,stop,fill,1,day,0.0,1,stock,145.3000030517578,58.0,0.0
2020-03-12 09:30:00-04:00,sarsa_strat,608bfa35765249aeb477f895d4f3122a,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-12 09:30:00-04:00,sarsa_strat,a39929cee4984cb793e9d37618f9f6f3,MSFT,sell,stop,fill,1,day,0.0,1,stock,145.3000030517578,29.0,0.0
2020-03-13 09:30:00-04:00,sarsa_strat,0b89dcf69a7041b9bff034f92aa7f4cb,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-13 09:30:00-04:00,sarsa_strat,0b89dcf69a7041b9bff034f92aa7f4cb,MSFT,buy,market,fill,1,gtc,0.0,1,stock,147.5,318.0,0.0
2020-03-16 08:30:00-04:00,sarsa_strat,3dfcaeb9edd246f59215446ff5f05108,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-16 08:30:00-04:00,sarsa_strat,c5d44274fd1a4f969bbe3c65630eb1e2,MSFT,sell,stop,fill,1,day,0.0,1,stock,140.0,318.0,0.0
2020-03-16 09:30:00-04:00,sarsa_strat,ae9fb02ef29b497fbf4cbe40ec29fb39,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-16 09:30:00-04:00,sarsa_strat,ae9fb02ef29b497fbf4cbe40ec29fb39,MSFT,buy,market,fill,1,gtc,0.0,1,stock,140.0,327.0,0.0
2020-03-17 09:30:00-04:00,sarsa_strat,629bf0200348424ea3856a9a9dbbafc9,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-03-17 09:30:00-04:00,sarsa_strat,629bf0200348424ea3856a9a9dbbafc9,MSFT,buy,market,fill,1,gtc,0.0,1,stock,140.0,196.0,0.0
2020-03-23 08:30:00-04:00,sarsa_strat,d13ca597632d4b3aa43173f04e8b199c,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-23 08:30:00-04:00,sarsa_strat,7ff9e20424ab4eff946e8d9cb3519d9f,MSFT,sell,stop,fill,1,day,0.0,1,stock,133.0,327.0,0.0
2020-03-23 08:30:00-04:00,sarsa_strat,9ef7df6448d84c9394062ce645342b73,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-03-23 08:30:00-04:00,sarsa_strat,ee389d90170e424482818bb1abd032a0,MSFT,sell,stop,fill,1,day,0.0,1,stock,133.0,196.0,0.0
2020-04-14 09:30:00-04:00,sarsa_strat,a973d94652224188a8a74ece433de1e1,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-14 09:30:00-04:00,sarsa_strat,a973d94652224188a8a74ece433de1e1,MSFT,buy,market,fill,1,gtc,0.0,1,stock,169.0,260.0,0.0
2020-04-16 09:30:00-04:00,sarsa_strat,0bd4378bd0c04facb5a13fc4135b9d65,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-16 09:30:00-04:00,sarsa_strat,0bd4378bd0c04facb5a13fc4135b9d65,MSFT,buy,market,fill,1,gtc,0.0,1,stock,174.3000030517578,126.0,0.0
2020-04-17 09:30:00-04:00,sarsa_strat,2c97f72da54747e58a3359fe19a28a9d,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-17 09:30:00-04:00,sarsa_strat,2c97f72da54747e58a3359fe19a28a9d,MSFT,buy,market,fill,1,gtc,0.0,1,stock,179.5,63.0,0.0
2020-04-20 09:30:00-04:00,sarsa_strat,6ff1a4c805c7480b963dfe4169d30f46,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-20 09:30:00-04:00,sarsa_strat,6ff1a4c805c7480b963dfe4169d30f46,MSFT,buy,market,fill,1,gtc,0.0,1,stock,176.6300048828125,35.0,0.0
2020-04-21 09:30:00-04:00,sarsa_strat,39624b0f4767492d9b48c601329f2ac5,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-21 09:30:00-04:00,sarsa_strat,6b9bdfa0b05e4d7e8d9d1fdf51e322ca,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-04-21 09:30:00-04:00,sarsa_strat,47b3ca67104a459a884d968bd9567488,MSFT,sell,stop,fill,1,day,0.0,1,stock,170.525,63.0,0.0
2020-04-21 09:30:00-04:00,sarsa_strat,d7a3d461385d4057b7151bd439d92b05,MSFT,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-04-21 09:30:00-04:00,sarsa_strat,94e24bcbc6464f11bb30fd41cbd08160,MSFT,sell,stop,fill,1,day,0.0,1,stock,167.79850463867186,35.0,0.0
2020-04-21 09:30:00-04:00,sarsa_strat,39624b0f4767492d9b48c601329f2ac5,MSFT,buy,market,fill,1,gtc,0.0,1,stock,173.5,15.0,0.0
2020-04-22 09:30:00-04:00,sarsa_strat,a22af701aae240e595826a06d8675fe0,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-22 09:30:00-04:00,sarsa_strat,a22af701aae240e595826a06d8675fe0,MSFT,buy,market,fill,1,gtc,0.0,1,stock,171.38999938964844,54.0,0.0
2020-04-27 09:30:00-04:00,sarsa_strat,466eab5e92d44fc3a9d606c4dee1e030,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,sarsa_strat,466eab5e92d44fc3a9d606c4dee1e030,MSFT,buy,market,fill,1,gtc,0.0,1,stock,176.58999633789062,26.0,0.0
2020-04-28 09:30:00-04:00,sarsa_strat,6f56ed557a504f7e8ef837b07547de1b,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
